ID	ComplaintNo	SR	Datereceived	timereceived	Requestor	Building	department	location	CMType	Description	responseDate	ResponseTime	responsedBy	Response	Inspection	InspectBy	image1	image2	Report	COID	Contractor	Insp_position	Status	DateClose	TimeClose	AggreeBy	Agg_Position	QRef	QDesc	QFile	Staff	Priority	Odometer	Vehicle	DateModify	TimeModify	ModifyBy	TrailerNo	Driver	Jarak_Operasi	MrType	ForTrailer
961178	NULL	MR/24/40600/20/11017	14:52.7	Oct 21 2024  6:14PM	shahrul	40600	NULL	442061020	NULL	Coolant	09:28.6	Oct 22 2024  3:09PM	1700217		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	00:00.0	NULL	1700217	NULL	NULL	NULL	NULL	7300063	1	1862159	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
961609	NULL	MR/24/40600/20/11105	15:13.7	Oct 24 2024  4:15PM	shahrul	40600	NULL	442061020	NULL	Cuci luar dalam	34:11.1	Nov 11 2024  2:34PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	8:49:25 AM	1701456	NULL	NULL	NULL	NULL	7300063	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
962052	NULL	MR/24/40600/20/11197	54:51.8	Oct 28 2024  2:54PM	rul	40600	NULL	442061020	NULL	Mudguard	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	7300063	1	1865778	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
962053	NULL	MR/24/40600/20/11198	55:25.8	Oct 28 2024  2:55PM	rul	40600	NULL	442061020	NULL	Tukar tayar	27:20.9	Oct 31 2024  9:27AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	11:13:31 AM	1700250	NULL	NULL	NULL	NULL	7300063	1	1865778	WRH311	NULL	NULL	NULL	TWC311	42005468	0	3	0
962293	NULL	MR/24/40600/20/11262	11:32.4	Oct 30 2024  9:11AM	shahrul	40600	NULL	442061020	NULL	bdown di tol dungun 23/10/24 tukar tayar	48:23.3	Nov  6 2024  2:48PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	00:00.0	NULL	1700250	NULL	NULL	NULL	NULL	1701390	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	3	0
962422	NULL	MR/24/40600/20/11284	30:19.9	Oct 30 2024  3:30PM	shahrul 	40600	NULL	442061020	NULL	Tukar bush cabin  Check aircond  Check wayering lampu	16:13.1	Nov 13 2024  4:16PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	00:00.0	NULL	1701456	NULL	NULL	NULL	NULL	7300063	1	1866945	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
963066	NULL	MR/24/40600/20/11398	50:12.6	Nov  5 2024 12:50PM	nizam	40600	NULL	442061020	NULL	Cuci luar dalam	15:06.4	Nov 27 2024 11:15AM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	8:20:38 AM	1701456	NULL	NULL	NULL	NULL	7300063	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
963342	NULL	MR/24/40600/20/11466	38:40.0	Nov  7 2024 12:38PM	rul	40600	NULL	442061020	NULL	Cuci luar dalam	28:44.8	Nov 25 2024  5:28PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	8:20:38 AM	1701456	NULL	NULL	NULL	NULL	7300063	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
963573	NULL	MR/24/40600/20/11516	38:08.3	Nov  9 2024 10:38AM	shahrul	40600	NULL	442061020	NULL	Tukar paip air	13:36.7	Nov 28 2024 10:13AM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	00:00.0	NULL	1701456	NULL	NULL	NULL	NULL	7300063	1	1867555	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
963596	NULL	MR/24/40600/20/11523	36:35.1	Nov  9 2024  3:36PM	shah	40600	NULL	442061020	NULL	CUci luar 	58:28.8	Nov 25 2024  3:58PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	8:20:38 AM	1701456	NULL	NULL	NULL	NULL	7300063	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
963745	NULL	MR/24/40600/20/11544	33:29.4	Nov 11 2024 12:33PM	rul	40600	NULL	442061020	NULL	Cuci luar dalam	49:06.1	Nov 25 2024  3:49PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	8:20:38 AM	1701456	NULL	NULL	NULL	NULL	7300063	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
