ID	ComplaintNo	SR	Datereceived	timereceived	Requestor	Building	department	location	CMType	Description	responseDate	ResponseTime	responsedBy	Response	Inspection	InspectBy	image1	image2	Report	COID	Contractor	Insp_position	Status	DateClose	TimeClose	AggreeBy	Agg_Position	QRef	QDesc	QFile	Staff	Priority	Odometer	Vehicle	DateModify	TimeModify	ModifyBy	TrailerNo	Driver	Jarak_Operasi	MrType	ForTrailer
679010	NULL	MR/21/40200/20/00142	56:40.0	Jan 13 2021  9:56AM	mat isa	40200	NULL	442021020	NULL	1.puspakom	51:07.3	Jan 14 2021  9:51AM	1701207	1.puspakom	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	1099032	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
679910	NULL	MR/21/40200/20/00283	51:13.0	Jan 21 2021  8:51AM	MAT ISA	40200	NULL	442021020	NULL	1.HYDRAULIC OIL	48:21.1	Jan 21 2021 10:48AM	1701207	1.HYDRAULIC OIL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1099132	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
680057	NULL	MR/21/40200/20/00307	38:14.2	Jan 22 2021 10:38AM	mat isa	40200	NULL	442021020	NULL	1.TUKAR TAYAR 	06:18.4	Jan 22 2021 11:06AM	1701207	1.TUKAR TAYAR 	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701207	NULL	NULL	NULL	NULL	1700412	1	1099133	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
680058	NULL	MR/21/40200/20/00308	39:35.5	Jan 22 2021 10:39AM	MAT ISA	40200	NULL	442021020	NULL	1.REPAIR MUDGUARD 2.ADJUST BRAKE	10:24.2	Jan 22 2021 11:10AM	1701207	1.REPAIR MUDGUARD 2.ADJUST BRAKE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	1099134	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
680061	NULL	MR/21/40200/20/00309	40:54.0	Jan 22 2021 10:40AM	MAT ISA	40200	NULL	442021020	NULL	1.CUCI LORI	11:17.2	Jan 22 2021 11:11AM	1701207	1.CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	1099135	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
680073	NULL	MR/21/40200/20/00314	54:18.9	Jan 22 2021  2:54PM	MAT ISA	40200	NULL	442021020	NULL	1.BREAK DOWN DI KOTA GELANNGI 21/01/2021.	03:49.1	Jan 22 2021  4:03PM	1701207	1.BREAK DOWN DI KOTA GELANNGI 21/01/2021.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	1099136	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
680303	NULL	MR/21/40200/20/00342	09:53.5	Jan 25 2021 11:09AM	MAT ISA	40200	NULL	442021020	NULL	1- CUCI LORI	41:04.9	Jan 25 2021 12:41PM	1701207	1- CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1099137	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	2	0
680482	NULL	MR/21/40200/20/00371	14:35.2	Jan 26 2021  5:14PM	MAT ISA	40200	NULL	442021020	NULL	1- CUCI LORI	12:25.8	Jan 26 2021  6:12PM	1701207	1- CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1099138	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	2	0
680548	NULL	MR/21/40200/20/00377	17:42.9	Jan 27 2021 12:17PM	MAT ISA	40200	NULL	442021020	NULL	1- CUCI LORI	13:29.1	Jan 27 2021  3:13PM	1701207	1- CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1099139	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	2	0
681258	NULL	MR/21/40200/20/00473	23:51.2	Feb  2 2021  4:23PM	MAT ISA	40200	NULL	442021020	NULL	1- ANGIN BOCOR 2- CHECK WIRING 	20:56.9	Feb  3 2021  3:20PM	1701207	1- ANGIN BOCOR 2- CHECK WIRING 	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1099140	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
681259	NULL	MR/21/40200/20/00474	25:12.2	Feb  2 2021  4:25PM	MAT ISA	40200	NULL	442021020	NULL	1- CUCI LORI	30:41.6	Feb  3 2021  3:30PM	1701207	1- CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1099141	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	2	0
682917	NULL	MR/21/40200/20/00590	17:06.6	Feb  9 2021  2:17PM	mat isa	40200	NULL	442021020	NULL	1.break down di bentong air bocor.	31:03.2	Feb 22 2021  4:31PM	1701207	1.break down di bentong air bocor.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	1099142	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
682974	NULL	MR/21/40200/20/00600	40:39.5	Feb  9 2021  5:40PM	MAT ISA	40200	NULL	442021020	NULL	1.TAMBAH MINYAK HYDRAULIC.	03:06.3	Feb 18 2021 11:03AM	1700142	1.TAMBAH MINYAK HYDRAULIC.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700142	NULL	NULL	NULL	NULL	1700412	1	1099143	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
682975	NULL	MR/21/40200/20/00601	41:15.7	Feb  9 2021  5:41PM	MAT ISA	40200	NULL	442021020	NULL	1.CUCI LORI	09:02.8	Feb 22 2021  5:09PM	1701207	1.CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	1099144	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
683687	NULL	MR/21/40200/20/00707	47:17.7	Feb 17 2021  4:47PM	MAT ISA	40200	NULL	442021020	NULL	1.CUCI LORI	03:00.5	Feb 23 2021  4:03PM	1701207	1.CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	1099145	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
686208	NULL	MR/21/40200/20/00802	24:17.2	Feb 23 2021  6:24PM	mat isa	40200	NULL	442021020	NULL	1.CUCI LORI	48:27.1	Feb 25 2021  5:48PM	1701207	1.CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	0	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
686299	NULL	MR/21/40200/20/00819	22:13.9	Feb 24 2021  4:22PM	MAT ISA	40200	NULL	442021020	NULL	1.ADJUST BRAKE	20:07.9	Feb 26 2021  4:20PM	1701207	1.ADJUST BRAKE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	0	WWM8494	22:41.2	22:41.2	1700412	TWC1970	42001091	0	1	0
686426	NULL	MR/21/40200/20/00836	25:37.3	Feb 25 2021  7:25PM	MAT ISA	40200	NULL	442021020	NULL	1.TUKAR TAYAR	32:57.3	Feb 26 2021  9:32AM	1700142	1.TUKAR TAYAR	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1700142	NULL	NULL	NULL	NULL	1700071	1	1135568	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	3	0
686686	NULL	MR/21/40200/20/00875	25:31.6	Mar  1 2021 11:25AM	MAT ISA	40200	NULL	442021020	NULL	1- SERVIS 2- CHECK LINING 3- SPRING TRAILER PATAH	41:28.7	Mar  1 2021  5:41PM	1701207	1- SERVIS 2- CHECK LINING 3- SPRING TRAILER PATAH	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1133750	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
686952	NULL	MR/21/40200/20/00907	54:26.7	Mar  2 2021  3:54PM	MAT ISA	40200	NULL	442021020	NULL	1- CUCI LORI	03:38.8	Mar  2 2021  5:03PM	1701207	1- CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1133751	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	2	0
686961	NULL	MR/21/40200/20/00908	47:31.5	Mar  2 2021  4:47PM	MAT ISA	40200	NULL	442021020	NULL	1- TUKAR TAYAR	04:45.5	Mar  2 2021  5:04PM	1701207	1- TUKAR TAYAR	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1133751	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	3	0
688141	NULL	MR/21/40200/20/01062	12:36.1	Mar 15 2021 12:12PM	MAT ISA	40200	NULL	442021020	NULL	1.MUDFLAP DAN CHECK WIRING.	48:53.6	Mar 17 2021 10:48AM	1701207	1.MUDFLAP DAN CHECK WIRING.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	1137734	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
688697	NULL	MR/21/40200/20/01132	03:34.2	Mar 22 2021  8:03AM	MAT ISA	40200	NULL	442021020	NULL	1- ANGIN BOCOR 2- WIRING 	38:52.0	Mar 22 2021 11:38AM	1701207	1- ANGIN BOCOR 2- WIRING	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1139783	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
688776	NULL	MR/21/40200/20/01139	10:40.1	Mar 22 2021  2:10PM	MAT ISA	40200	NULL	442021020	NULL	1- PAIP ANGIN	48:14.7	Mar 22 2021  2:48PM	1701207	1- PAIP ANGIN	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1139788	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
688818	NULL	MR/21/40200/20/01144	23:38.9	Mar 22 2021  4:23PM	MAT ISA	40200	NULL	442021020	NULL	1- GETAH MAINHOLE 	33:01.4	Mar 22 2021  5:33PM	1701207	1- GETAH MAINHOLE 	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	1139789	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
689080	NULL	MR/21/40200/20/01205	17:23.7	Mar 25 2021 12:17PM	MAT ISA	40200	NULL	442021020	NULL	1.CUCI LORI	06:43.2	Mar 25 2021  6:06PM	1701207	1.CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701207	NULL	NULL	NULL	NULL	1700412	1	0	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
689146	NULL	MR/21/40200/20/01214	02:30.0	Mar 25 2021  5:02PM	MAT ISA	40200	NULL	442021020	NULL	1.TUKAR TAYAR.	44:31.5	Mar 26 2021 10:44AM	1701207	1.TUKAR TAYAR.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	0	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
689605	NULL	MR/21/40200/20/01268	23:51.5	Mar 30 2021  3:23PM	mat isa	40200	NULL	442021020	NULL	1.CUCI LORI	30:01.9	Mar 31 2021  9:30AM	1701207	1.CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701207	NULL	NULL	NULL	NULL	1700412	1	0	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
689983	NULL	MR/21/40200/20/01321	27:13.2	Apr  3 2021  8:27AM	mat isa	40200	NULL	442021020	NULL	1.check wiring trailer.	20:02.1	Apr  6 2021  4:20PM	1701207	1.check wiring trailer.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	0	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
690221	NULL	MR/21/40200/20/01356	16:18.1	Apr  6 2021 10:16AM	MAT ISA	40200	NULL	442021020	NULL	1- TUKAR TAYAR	26:33.9	Apr  7 2021  2:26PM	1701207	1- TUKAR TAYAR	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	2	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
690708	NULL	MR/21/40200/20/01409	39:21.8	Apr 10 2021  3:39PM	MAT ISA	40200	NULL	442021020	NULL	1.CUCI LORI	28:59.5	Apr 13 2021 12:28PM	1701207	1.CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701207	NULL	NULL	NULL	NULL	1700412	1	0	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
691478	NULL	MR/21/40200/20/01502	33:53.3	Apr 18 2021  9:33AM	MAT ISA	40200	NULL	442021020	NULL	1.BRAKEDOWN DI RAUB -LORI TIDAK BOLEH START	25:36.1	Apr 19 2021 11:25AM	1701207	1.BRAKEDOWN DI RAUB -LORI TIDAK BOLEH START	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	0	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
691574	NULL	MR/21/40200/20/01524	17:07.4	Apr 19 2021 12:17PM	MAT ISA	40200	NULL	442021020	NULL	1.TUKAR TAYAR	22:33.4	Apr 19 2021  3:22PM	1701207	1.TUKAR TAYAR	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700412	1	0	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
691575	NULL	MR/21/40200/20/01525	17:49.2	Apr 19 2021 12:17PM	MAT ISA	40200	NULL	442021020	NULL	1.CUCI LORI	23:50.7	Apr 19 2021  3:23PM	1701207	1.CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701207	NULL	NULL	NULL	NULL	1700412	1	0	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
691629	NULL	MR/21/40200/20/01534	37:52.1	Apr 19 2021  5:37PM	MAT ISA	40200	NULL	442021020	NULL	1- REPAIR STARTER	51:43.1	Apr 20 2021  9:51AM	1701207	1- REPAIR STARTER	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701207	NULL	NULL	NULL	NULL	1700071	1	121	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
694124	NULL	MR/21/40200/20/01605	33:22.2	Apr 23 2021  5:33PM	mat isa	40200	NULL	442021020	NULL	1.CUCI LORI	12:12.1	Apr 26 2021 11:12AM	1701207	1.CUCI LORI	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701207	NULL	NULL	NULL	NULL	1700412	1	121	WWM8494	NULL	NULL	NULL	TWC1970	42001091	0	1	0
